step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
1000,0,0,1000,1,999,1.0979999754577876,1.0,0,0.0,0.0,0.0
2000,1,0,2000,2,999,1.0589999763295055,0.97,0,0.0,0.0,0.0
3000,2,0,3000,3,999,1.4619999673217534,0.9409,0,0.0,0.0,0.0
4000,3,0,4000,4,999,1.9104999572969974,0.912673,0,0.0,0.0,0.0
5000,4,0,5000,5,999,1.9529999563470484,0.8852928099999999,0,0.0,0.0,0.0
6000,5,0,6000,6,999,3.414999923668802,0.8587340256999999,0,0.0,0.0,0.0
7000,6,0,7000,7,999,3.7204999168403448,0.8329720049289999,0,0.0,0.0,0.0
8000,7,0,8000,8,999,4.3789999021217225,0.8079828447811299,0,0.0,0.0,0.0
9000,8,0,9000,9,999,5.804999870248139,0.783743359437696,0,0.0,0.0,0.0
10000,9,0,10000,10,999,6.043999864906072,0.7602310586545651,0,0.0,0.0,0.0
11000,10,1,1000,1,999,6.440999856032431,0.7374241268949281,0,0.0,0.0,0.0
12000,11,1,2000,2,999,10.336999768950045,0.7153014030880802,0,0.0,0.0,0.0
13000,12,1,3000,3,999,11.932499733287841,0.6938423609954378,0,0.0,0.0,0.0
14000,13,1,4000,4,999,17.23249961482361,0.6730270901655747,0,0.0,0.0,0.0
15000,14,1,5000,5,999,19.737999558821322,0.6528362774606075,0,0.0,0.0,0.0
16000,15,1,6000,6,999,19.262499569449574,0.6332511891367892,0,0.0,0.0,0.0
17000,16,1,7000,7,999,22.60449949475005,0.6142536534626856,0,0.0,0.0,0.0
18000,17,1,8000,8,999,24.504499452281742,0.595826043858805,0,0.0,0.0,0.0
19000,18,1,9000,9,999,24.78149944609031,0.5779512625430409,0,0.0,0.0,0.0
20000,19,1,10000,10,999,27.614499382767825,0.5606127246667496,0,0.0,0.0,0.0
21000,20,2,1000,1,999,31.601999293640255,0.5437943429267471,0,0.0,0.0,0.0
22000,21,2,2000,2,999,30.929999308660626,0.5274805126389447,0,0.0,0.0,0.0
23000,22,2,3000,3,999,32.783999267220494,0.5116560972597763,0,0.0,0.0,0.0
24000,23,2,4000,4,999,32.886999264918266,0.496306414341983,0,0.0,0.0,0.0
25000,24,2,5000,5,999,33.27249925630167,0.48141722191172354,0,0.0,0.0,0.0
26000,25,2,6000,6,999,36.95599917396903,0.4669747052543718,0,0.0,0.0,0.0
27000,26,2,7000,7,999,38.570499137882145,0.4529654640967406,0,0.0,0.0,0.0
28000,27,2,8000,8,999,37.82949915444478,0.4393765001738384,0,0.0,0.0,0.0
