epoch,avg_score,avg_val_score,epsilon,avg_loss,beta
0,3.084599931053817,5.363999880105257,0.7374241268949281,0.0,0
1,10.764724759389647,30.61174931577407,0.5437943429267471,0.0,0
2,18.896399577632547,36.17024919153191,0.4010070685431576,0.0,0
3,23.664411971059163,38.68874913523905,0.2957122873991326,0.0,0
4,26.46550940844976,35.269249211670825,0.21806537534740741,0.0,0
5,28.32242436694447,38.61624913685955,0.1608066690215767,0.0,0
6,29.57017791048357,38.98999912850559,0.11858271750211788,0.0,0
7,30.604836815928575,38.75674913371913,0.1,0.0,0
8,31.444682630489893,37.87374915345572,0.1,0.0,0
9,32.119264282078476,39.07124912668951,0.1,0.0,0
10,35.57275920488685,37.79399915523827,0.1,0.0,0
11,37.54796416073758,37.20774916834198,0.1,0.0,0
12,37.879249153332786,38.984999128617346,0.1,0.0,0
13,37.90831415268313,38.088749148650095,0.1,0.0,0
14,38.0057041505063,37.30874916608445,0.1,0.0,0
15,38.11480414806772,39.11899912562221,0.1,0.0,0
16,38.283284144301895,37.785249155433846,0.1,0.0,0
17,38.298854143953875,38.47424914003349,0.1,0.0,0
18,38.34337414295878,38.68724913527258,0.1,0.0,0
19,38.36070914257132,37.87899915333837,0.1,0.0,0
20,38.357744142637586,34.42199923060834,0.1,0.0,0
21,38.28253414431866,38.490499139670284,0.1,0.0,0
22,38.220494145705366,37.409249163838105,0.1,0.0,0
23,38.18342914653383,39.30274912151508,0.1,0.0,0
24,38.11662414802703,38.73999913409352,0.1,0.0,0
25,38.107914148221724,37.53674916098826,0.1,0.0,0
26,38.04856914954819,38.80899913255125,0.1,0.0,0
27,38.114189148081465,35.36349920956418,0.1,0.0,0
28,38.07612414893228,39.00524912816472,0.1,0.0,0
29,38.059379149306565,39.23524912302382,0.1,0.0,0
