epoch,avg_score,avg_val_score,epsilon,avg_loss,beta
0,2.0552499540615825,,0.7374241268949281,0.0,0
1,4.881924890880472,,0.5437943429267471,0.0,0
2,9.553899786453693,,0.4010070685431576,0.0,0
3,14.934174666195176,,0.2957122873991326,0.0,0
4,18.94019957665354,,0.21806537534740741,0.0,0
5,21.750474513839,,0.1608066690215767,0.0,0
6,23.912528036941904,,0.11858271750211788,0.0,0
7,25.547361928971952,,0.1,0.0,0
8,26.80141051205289,,0.1,0.0,0
9,27.92436437584181,,0.1,0.0,0
10,31.469599296599625,,0.1,0.0,0
11,34.42010423065071,,0.1,0.0,0
12,36.28218418902997,,0.1,0.0,0
13,36.89259917538613,,0.1,0.0,0
14,37.173429169109085,,0.1,0.0,0
15,37.39508416415472,,0.1,0.0,0
16,37.484494162156246,,0.1,0.0,0
17,37.49417416193988,,0.1,0.0,0
18,37.58913915981725,,0.1,0.0,0
19,37.579084160042,,0.1,0.0,0
20,37.677639157839124,,0.1,0.0,0
21,37.80096415508259,,0.1,0.0,0
22,37.81916415467579,,0.1,0.0,0
23,37.979809151085085,,0.1,0.0,0
24,38.070834149050526,,0.1,0.0,0
25,38.073024149001576,,0.1,0.0,0
26,38.13354414764885,,0.1,0.0,0
27,38.27444914449937,,0.1,0.0,0
28,38.37007914236188,,0.1,0.0,0
29,38.38046414212976,,0.1,0.0,0
